,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
245,Mostly Self-Taught,Designer,$40k - $60k,"Excel,Illustrator,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,Infographics,PictorialVisualization",Public sector,Design,Man,Brazil,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no
247,Mostly Self-Taught,Developer,$20k - $40k,"D3,Excel,Processing,Python,GoogleSheets","LineChart,BarChart,Infographics",Private sector,Electronic Engineering,Man,Belgium,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
249,Mostly Self-Taught,Developer,$40k - $60k,"Python,Matplotlib","LineChart,BarChart,Scatterplot",Private sector,Physics ,Man,Germany ,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
250,Mostly Self-Taught,Analyst,$120k - $140k,"ggplot2,Illustrator,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Film and Media Studies,Man,USA,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
251,Mostly Self-Taught,Other,$60k - $80k,"ArcGIS,D3,Excel,ggplot2,Illustrator,PowerBI,Python,R,WebGL,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Construction,Architectural technology ,Man,England ,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
252,Equal Parts School and Self-Taught,Designer,$20k - $40k,"D3,Illustrator,Mapbox,Python,QGIS,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Private sector,Engineering,Man,India,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no
253,Mostly Self-Taught,Leadership,$180k - $200k,"Excel,Illustrator,PowerBI,Pen&Paper,IgorProfromWavemetrics","LineChart,BarChart,Scatterplot,Customdesigns",Academic,Computational neuroscience,Man,USA,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
254,Mostly Self-Taught,Leadership,$80k - $100k,"ArcGIS,Excel,Qlik","LineChart,BarChart,Scatterplot",Not-for-profit,Education,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
255,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Tableau","LineChart,BarChart,PieChart,Treemap",Ad Agency,Political Science,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no
257,Mostly Self-Taught,Leadership,$200k+,"Cytoscape,D3,ggplot2,Gephi,Illustrator,Leaflet,Mapbox,Python,R,React,Vue,Pen&Paper,P5/Processing","LineChart,BarChart,Scatterplot,NetworkDiagram,violin",Private sector,Mandarin Chinese,Man,USA,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
258,Mostly Self-Taught,Designer,$120k - $140k,"Excel,Illustrator,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Psychology,Man,USA,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
259,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Economics,Man,USA,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no
260,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot,Infographics",Academic,Film,Man,USA,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
261,Mostly Self-Taught,Analyst,$200k+,"Excel,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics",Retail ,Sociology ,Man,USA,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
262,Mostly Self-Taught,Developer,$100k - $120k,"ArcGIS,D3,Excel,Illustrator,Mapbox,Plotly,Processing,Python,R,React,WebGL,P5/Processing,Matplotlib","LineChart,BarChart,Scatterplot,Infographics,PictorialVisualization,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,3DCharts,Force-DirectedGraph",Private sector,Neuroscience,Man,USA,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no
263,Mostly Self-Taught,Analyst,$180k - $200k,"Excel,Tableau","LineChart,BarChart,Scatterplot,ChoroplethMap",Pharmaceutical,Biology,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
264,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,Plotly,Processing,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap",Private sector,Fine Arts,Man,Canada,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no
265,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"ggplot2,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap",Public sector,Psychology ,Man,USA,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
266,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,ggplot2,Illustrator,Plotly,Python,React,Canvas,Matplotlib","LineChart,BarChart,Scatterplot,Force-DirectedGraph",Private sector,Engineering and music,Man,USA,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
267,Mostly Self-Taught,Student,< $20k,"D3,Python,Tableau,WebComponents,Pen&Paper,Otherphysicalmaterials","BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart),Matrixchart,parallelcoordinate,bubblechart",Academic,Chemistry (Chemical Biology),Man,USA,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no
268,Mostly Self-Taught,Scientist,$140k - $160k,"D3,ggplot2,Leaflet,R,Vue,Canvas","LineChart,BarChart,Scatterplot,Force-DirectedGraph",Public sector,Biology,Man,USA,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
269,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Illustrator,Mapbox,Plotly,R,Tableau,WebComponents","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,United Kingdom,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
270,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,Gephi,PowerBI,QGIS","LineChart,BarChart,Infographics",Public sector,International Development Studies,Man,Canada,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
271,Mostly Self-Taught,Leadership,$180k - $200k,"ggplot2,Java,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap",Security,Information Systems,Man,USA,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no
272,Equal Parts School and Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,Illustrator,QGIS,R,Tableau,WebComponents","LineChart,BarChart,PieChart,Scatterplot,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,sociology,Man,Chile,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no
273,Mostly Self-Taught,Engineer,$200k+,"D3,Mapbox,kepler.gl,QGIS,Tableau,WebGL","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,RasterMap,3DCharts",Private sector,Psychology,Man,USA,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
274,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Illustrator,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Radio Television marketing,Man,USA,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
275,Equal Parts School and Self-Taught,Student,$20k - $40k,"Excel,Python,Vue,Pen&Paper","BarChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Data Science ,Man,USA,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
277,Mostly Self-Taught,Analyst,$100k - $120k,"D3,Python","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Electrical Engineering,Man,Japan,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
278,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"ggplot2,R,Tableau,SAS","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,History,Man,USA,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no
279,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,Python,Tableau","LineChart,BarChart,PieChart,Hexbin/Heatmap,Infographics",Public sector,Biology,Man,USA,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
281,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Mapbox,Plotly,PowerBI,Python,Qlik,R,React,Tableau,WebGL,Greensock,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,SwarmChart,Force-DirectedGraph",Private sector,"Economics, Finance",Man,Australia,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no
282,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot",Private sector,Management,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
283,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,Scatterplot",Not-for-profit,Business,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
284,Mostly Self-Taught,Scientist,< $20k,"Excel,ggplot2,Highcharts,Plotly,Python,R","LineChart,BarChart,PieChart,Treemap,3DCharts",Private sector,Financial Engineering,Man,Kenya,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no
285,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,Treemap,3DCharts",Private sector,Computer Science,Man,USA,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
286,Mostly Self-Taught,Leadership,$200k+,"D3,Angular,Excel,Pen&Paper","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,Australia,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no
288,Mostly Self-Taught,Developer,$60k - $80k,"D3,Angular,Excel,Illustrator,QGIS,Vue","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Math,Man,USA,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no
289,Mostly Self-Taught,Developer,$80k - $100k,"D3,ggplot2,Illustrator,kepler.gl,QGIS,R,React,WebGL,Pen&Paper,Canvas","Infographics,PictorialVisualization,Treemap,ChoroplethMap,RadialChart",Private sector,Economics,Man,USA,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no
290,Mostly Self-Taught,Developer,$60k - $80k,"D3,Python,QGIS,Tableau",LineChart,Journalism,computer science,Man,Sweden,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
293,Mostly Self-Taught,Developer,$60k - $80k,D3,"LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Anthropology ,Man,USA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
295,Equal Parts School and Self-Taught,Developer,$60k - $80k,"D3,React","LineChart,BarChart,PieChart,PictorialVisualization,ChoroplethMap",Private sector,Music,Man,USA,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no
296,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Leaflet,Mapbox,kepler.gl,PowerBI,Python,QGIS","BarChart,PieChart,Hexbin/Heatmap,Infographics,ChoroplethMap,RasterMap",Public sector,Geography,Man,USA,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes
297,Equal Parts School and Self-Taught,Academic,$60k - $80k,"ArcGIS,Excel,Illustrator,R","Scatterplot,Infographics,ChoroplethMap,RasterMap",Academic,Geology,Man,USA,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes
298,Mostly Self-Taught,Scientist,$100k - $120k,"ArcGIS,Excel","LineChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Geology,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
299,Mostly Self-Taught,Student,$20k - $40k,"ArcGIS,Excel,ggplot2,Leaflet,QGIS,R,Pen&Paper,Figma","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,"Environmental Engineering, Earth Science",Man,Canada,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes
300,Mostly From School (or other formal courses),Student,$20k - $40k,"Excel,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,Infographics,PictorialVisualization,Treemap,Dendrogram,RasterMap",Academic,Statistics,Man,USA,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes
301,Equal Parts School and Self-Taught,Student,$20k - $40k,"ggplot2,Plotly,Python,R","LineChart,BarChart,Scatterplot,Box&WhiskerPlot",Academic,Psychology,Man,USA,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
302,Equal Parts School and Self-Taught,Academic,$20k - $40k,"Python,Matplotlib,inkskape","LineChart,Scatterplot,Hexbin/Heatmap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,"chemistry, computer science ",Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes
303,Mostly Self-Taught,Academic,$20k - $40k,react-vis,"LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Physics,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
304,Mostly Self-Taught,Academic,$20k - $40k,"Excel,Python,Matplotlib,libreoffice","LineChart,BarChart,PieChart,Scatterplot,3DCharts",Academic,"Chemistry, Applied Math",Man,USA,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
305,Mostly Self-Taught,Scientist,$20k - $40k,Python,"LineChart,Scatterplot,Hexbin/Heatmap,3DCharts",Academic,Physics,Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
306,Mostly Self-Taught,Designer,< $20k,"D3,Excel,ggplot2,Illustrator,Processing,R,Tableau,Pen&Paper,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap",Private sector,UX Design,Man,Colombia,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no
307,Mostly Self-Taught,Designer,$60k - $80k,"Excel,ggplot2,Illustrator,QGIS,R,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Drawing,Man,United Kingdom,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
309,Mostly Self-Taught,Other,$40k - $60k,"D3,Excel,ggplot2,Illustrator,Leaflet,Mapbox,QGIS,R,React,Vue,Pen&Paper,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism,Man,USA,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
310,Mostly Self-Taught,Scientist,$180k - $200k,"Excel,ggplot2,R,RawGraphs.io","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Psychology,Man,USA,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no
311,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Mapbox,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,RasterMap",Private sector,Mathematics,Man,United Kingdom,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes
312,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,PowerBI,PowerPoint","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Private sector,Economics,Man,United Kingdom,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no
313,Mostly Self-Taught,Leadership,$100k - $120k,"D3,R","BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,Force-DirectedGraph,Customcircularcharts",Private sector,Biochemistry ,Man,France,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no
314,Mostly Self-Taught,Leadership,$160k - $180k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Finance,Man,France,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
315,Mostly Self-Taught,Leadership,$20k - $40k,"Excel,Plotly,Python,QGIS,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Basics.,Man,Slovenia,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
316,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Microstrategy,Plotly,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,RasterMap",Private sector,Economics,Man,Mexico,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
317,Mostly Self-Taught,Scientist,$100k - $120k,"Excel,Python,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Private sector,biochemistry,Man,France,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
318,Equal Parts School and Self-Taught,Scientist,$80k - $100k,"Excel,ggplot2,Highcharts,R,Tableau","LineChart,BarChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Music - Piano,Man,USA,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no
319,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,Canvas","LineChart,BarChart,Hexbin/Heatmap,Infographics,Treemap",Not-for-profit,History,Man,United Kingdom,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
321,Mostly Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,ChoroplethMap",Not-for-profit,Philosophy/Computer Science,Man,USA,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
322,Mostly Self-Taught,Analyst,$20k - $40k,Tableau,"LineChart,BarChart,Hexbin/Heatmap,Treemap",Public sector,Pharmaceutical Science ,Man,United Kingdom,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no
323,Equal Parts School and Self-Taught,Leadership,$80k - $100k,"D3,Excel,Illustrator,PowerBI,Tableau,Vega","LineChart,BarChart,PieChart,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,International and Global Studies; Near Eastern and Judaic Studies,Man,USA,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no
327,Mostly Self-Taught,Analyst,$80k - $100k,"Illustrator,PowerBI,Python,Tableau,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Private sector,graphic design ,Man,USA,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no
328,Mostly Self-Taught,Analyst,$60k - $80k,"ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Urban Studies,Man,USA,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no
329,Mostly Self-Taught,Leadership,$60k - $80k,"Excel,Tableau","LineChart,BarChart,Treemap",Academic,Music,Man,United Kingdom,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
330,Equal Parts School and Self-Taught,Developer,$80k - $100k,"D3,Illustrator,QGIS,React","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Journalism,Theatre Studies,Man,Switzerland,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
331,Mostly From School (or other formal courses),Analyst,$20k - $40k,"Excel,PowerBI,Tableau","BarChart,PieChart,Infographics,Treemap",Public sector,Management Information Systems,Man,USA,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
