,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
1074,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Illustrator,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Sociology,Woman,USA,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
1075,Mostly Self-Taught,Other,$40k - $60k,"Excel,Cognos","LineChart,BarChart,PieChart",Academic,IT & Computing,Woman,United Kingdom,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
1076,Equal Parts School and Self-Taught,Designer,$40k - $60k,"ArcGIS,D3,Excel,Illustrator,Java,Leaflet,Mapbox,Plotly,PowerBI,Python,Tableau,Vega,Pen&Paper,Otherphysicalmaterials,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Technical Theatre,Woman,USA,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
1077,Equal Parts School and Self-Taught,Designer,$80k - $100k,"Excel,Illustrator,Microstrategy,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Life Sciences,Woman,Canada,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes
1079,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics",Private sector,Design,Woman,United Kingdom,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
1080,Mostly Self-Taught,Analyst,$100k - $120k,"Tableau,DataStudio","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Behavioural Science,Woman,Australia,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no
1081,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Mapbox,Tableau,Otherphysicalmaterials","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Linguistics,Woman,USA,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no
1082,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI,Qlik","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Sankey",Academic,Fashion Management,Woman,United Kingdom,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
1083,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,Python,R,Tableau","LineChart,BarChart,PieChart",Academic,Humanities,Woman,USA,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
1084,Mostly Self-Taught,Student,< $20k,Excel,"LineChart,BarChart,PieChart",Public sector,Medicine ,Woman,Sweden,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
